upgradeContents,upgradeType,upgradeEnhancementSteps,enhancementValue,enhancementFee
FoodUpgrade_16,5,16,17,27048
FoodUpgrade_17,5,17,18,36514
FoodUpgrade_18,5,18,19,49294
FoodUpgrade_19,5,19,20,66547
FoodUpgrade_20,5,20,21,89839
FoodUpgrade_21,5,21,22,121282
FoodUpgrade_22,5,22,23,163731
FoodUpgrade_23,5,23,24,221037
FoodUpgrade_24,5,24,25,298399
FoodUpgrade_25,5,25,26,402839
FoodUpgrade_26,5,26,27,543833
FoodUpgrade_27,5,27,28,734174
FoodUpgrade_28,5,28,29,991135
FoodUpgrade_29,5,29,30,1338033
FoodUpgrade_30,5,30,31,1806344
FoodUpgrade_31,5,31,32,2438565
FoodUpgrade_32,5,32,33,3292063
FoodUpgrade_33,5,33,34,4444284
FoodUpgrade_34,5,34,35,5999784
FoodUpgrade_35,5,35,36,8099708
FoodUpgrade_36,5,36,37,10934606
FoodUpgrade_37,5,37,38,14761719
FoodUpgrade_38,5,38,39,19928320
FoodUpgrade_39,5,39,40,26903232
FoodUpgrade_40,5,40,41,36319363
FoodUpgrade_41,5,41,42,49031140
FoodUpgrade_42,5,42,43,66192040
FoodUpgrade_43,5,43,44,89359253
FoodUpgrade_44,5,44,45,120634992
FoodUpgrade_45,5,45,46,162857239
FoodUpgrade_46,5,46,47,219857273
FoodUpgrade_47,5,47,48,296807319
FoodUpgrade_48,5,48,49,400689880
FoodUpgrade_49,5,49,50,540931338
FoodUpgrade_50,5,50,51,730257307
FoodUpgrade_51,5,51,52,985847364
FoodUpgrade_52,5,52,53,1330893941
FoodUpgrade_53,5,53,54,1796706821
FoodUpgrade_54,5,54,55,2425554208
FoodUpgrade_55,5,55,56,0
FoodUpgradeVer2_1,6,1,2,3000
FoodUpgradeVer2_2,6,2,3,4627
FoodUpgradeVer2_3,6,3,4,7135
FoodUpgradeVer2_4,6,4,5,11004
FoodUpgradeVer2_5,6,5,6,16970
FoodUpgradeVer2_6,6,6,7,26172
FoodUpgradeVer2_7,6,7,8,40363
FoodUpgradeVer2_8,6,8,9,62248
FoodUpgradeVer2_9,6,9,10,95999
FoodUpgradeVer2_10,6,10,11,148050
FoodUpgradeVer2_11,6,11,12,228324
FoodUpgradeVer2_12,6,12,13,352123
FoodUpgradeVer2_13,6,13,14,543047
FoodUpgradeVer2_14,6,14,15,837492
FoodUpgradeVer2_15,6,15,16,1291587
FoodUpgradeVer2_16,6,16,17,1991896
FoodUpgradeVer2_17,6,17,18,3071918
FoodUpgradeVer2_18,6,18,19,4737537
FoodUpgradeVer2_19,6,19,20,7306269
FoodUpgradeVer2_20,6,20,21,11267788
FoodUpgradeVer2_21,6,21,22,17377276
FoodUpgradeVer2_22,6,22,23,26799378
FoodUpgradeVer2_23,6,23,24,41330222
FoodUpgradeVer2_24,6,24,25,63739809
FoodUpgradeVer2_25,6,25,26,98300060
FoodUpgradeVer2_26,6,26,27,151599163
FoodUpgradeVer2_27,6,27,28,233797480
FoodUpgradeVer2_28,6,28,29,360564403
FoodUpgradeVer2_29,6,29,30,556065397
FoodUpgradeVer2_30,6,30,31,857568643
FoodUpgradeVer2_31,6,31,32,1322549436
FoodUpgradeVer2_32,6,32,33,2039646651
FoodUpgradeVer2_33,6,33,34,3145559892
FoodUpgradeVer2_34,6,34,35,4851108416
FoodUpgradeVer2_35,6,35,36,0
AutoFeed_1,7,1,30,1436
AutoFeed_2,7,2,29,4595
AutoFeed_3,7,3,28,14705
AutoFeed_4,7,4,27,47055
AutoFeed_5,7,5,26,150576
AutoFeed_6,7,6,25,481842
AutoFeed_7,7,7,24,1541893
AutoFeed_8,7,8,23,4934058
AutoFeed_9,7,9,22,10854929
AutoFeed_10,7,10,21,23880843
AutoFeed_11,7,11,20,47537854
AutoFeed_12,7,12,19,75583279
AutoFeed_13,7,13,18,131283214
AutoFeed_14,7,14,17,243423071
AutoFeed_15,7,15,16,467730756
AutoFeed_16,7,16,15,0
AutoMerge_1,8,1,60,100
AutoMerge_2,8,2,59,200
AutoMerge_3,8,3,58,480
AutoMerge_4,8,4,57,1088
AutoMerge_5,8,5,56,2509
AutoMerge_6,8,6,55,5755
AutoMerge_7,8,7,54,13222
AutoMerge_8,8,8,53,29088
AutoMerge_9,8,9,52,63994
AutoMerge_10,8,10,51,140788
AutoMerge_11,8,11,50,309733
AutoMerge_12,8,12,49,681413
AutoMerge_13,8,13,48,1499109
AutoMerge_14,8,14,47,3298040
AutoMerge_15,8,15,46,7255688
AutoMerge_16,8,16,45,14511376
AutoMerge_17,8,17,44,29022752
AutoMerge_18,8,18,43,58045504
AutoMerge_19,8,19,42,116091008
AutoMerge_20,8,20,41,232182016
AutoMerge_21,8,21,40,464364032
AutoMerge_22,8,22,39,928728064
AutoMerge_23,8,23,38,1857456128
AutoMerge_24,8,24,37,3714912255
AutoMerge_25,8,25,36,7429824511
AutoMerge_26,8,26,35,14859649022
AutoMerge_27,8,27,34,29719298044
AutoMerge_28,8,28,33,59438596087
AutoMerge_29,8,29,32,118877192174
AutoMerge_30,8,30,31,237754384349
AutoMerge_31,8,31,30,463621049480
AutoMerge_32,8,32,29,904061046487
AutoMerge_33,8,33,28,1762919040649
AutoMerge_34,8,34,27,3437692129266
AutoMerge_35,8,35,26,6703499652069
AutoMerge_36,8,36,25,13071824321535
AutoMerge_37,8,37,24,25490057426992
AutoMerge_38,8,38,23,49705611982635
AutoMerge_39,8,39,22,94440662767007
AutoMerge_40,8,40,21,179437259257313
AutoMerge_41,8,41,20,340930792588895
AutoMerge_42,8,42,19,647768505918901
AutoMerge_43,8,43,18,1230760161245910
AutoMerge_44,8,44,17,2338444306367230
AutoMerge_45,8,45,16,4443044182097740
AutoMerge_46,8,46,15,0
