upgradeContents,upgradeType,upgradeEnhancementSteps,enhancementValue,enhancementFee
IncreaseFoodMaximum_9,3,9,13,2560
IncreaseFoodMaximum_10,3,10,14,5120
IncreaseFoodMaximum_11,3,11,15,10240
IncreaseFoodMaximum_12,3,12,16,20480
IncreaseFoodMaximum_13,3,13,17,40960
IncreaseFoodMaximum_14,3,14,18,81920
IncreaseFoodMaximum_15,3,15,19,163840
IncreaseFoodMaximum_16,3,16,20,327680
IncreaseFoodMaximum_17,3,17,21,655360
IncreaseFoodMaximum_18,3,18,22,1310720
IncreaseFoodMaximum_19,3,19,23,2621440
IncreaseFoodMaximum_20,3,20,24,5242880
IncreaseFoodMaximum_21,3,21,25,10485760
IncreaseFoodMaximum_22,3,22,26,20971520
IncreaseFoodMaximum_23,3,23,27,41943040
ReduceProducingFoodTime_1,4,1,7,10
ReduceProducingFoodTime_2,4,2,7,20
ReduceProducingFoodTime_3,4,3,7,40
ReduceProducingFoodTime_4,4,4,6,80
ReduceProducingFoodTime_5,4,5,6,160
ReduceProducingFoodTime_6,4,6,6,320
ReduceProducingFoodTime_7,4,7,6,640
ReduceProducingFoodTime_8,4,8,6,1280
ReduceProducingFoodTime_9,4,9,5,2560
ReduceProducingFoodTime_10,4,10,5,5120
ReduceProducingFoodTime_11,4,11,5,10240
ReduceProducingFoodTime_12,4,12,5,20480
ReduceProducingFoodTime_13,4,13,5,40960
ReduceProducingFoodTime_14,4,14,4,81920
ReduceProducingFoodTime_15,4,15,4,163840
ReduceProducingFoodTime_16,4,16,4,327680
ReduceProducingFoodTime_17,4,17,4,655360
ReduceProducingFoodTime_18,4,18,4,1310720
ReduceProducingFoodTime_19,4,19,3,2621440
ReduceProducingFoodTime_20,4,20,3,5242880
ReduceProducingFoodTime_21,4,21,3,10485760
ReduceProducingFoodTime_22,4,22,3,20971520
ReduceProducingFoodTime_23,4,23,3,41943040
ReduceProducingFoodTime_24,4,24,2,83886080
ReduceProducingFoodTime_25,4,25,2,167772160
ReduceProducingFoodTime_26,4,26,2,335544320
FoodUpgrade_1,5,1,3,10
FoodUpgrade_2,5,2,4,20
FoodUpgrade_3,5,3,5,40
FoodUpgrade_4,5,4,6,80
FoodUpgrade_5,5,5,7,160
FoodUpgrade_6,5,6,8,320
FoodUpgrade_7,5,7,9,640
FoodUpgrade_8,5,8,10,1280
FoodUpgrade_9,5,9,11,2560
FoodUpgrade_10,5,10,12,5120
FoodUpgrade_11,5,11,13,10240
FoodUpgrade_12,5,12,14,20480
FoodUpgrade_13,5,13,15,40960
FoodUpgrade_14,5,14,16,81920
FoodUpgrade_15,5,15,17,163840
FoodUpgrade_16,5,16,18,327680
FoodUpgrade_17,5,17,19,655360
FoodUpgrade_18,5,18,20,1310720
FoodUpgrade_19,5,19,21,2621440
FoodUpgrade_20,5,20,22,5242880
FoodUpgrade_21,5,21,23,10485760
FoodUpgrade_22,5,22,24,20971520
FoodUpgrade_23,5,23,25,41943040
FoodUpgrade_24,5,24,26,83886080
FoodUpgrade_25,5,25,27,167772160
FoodUpgrade_26,5,26,28,335544320
FoodUpgrade_27,5,27,29,671088640
FoodUpgrade_28,5,28,30,1342177280
FoodUpgrade_29,5,29,31,2684354560
FoodUpgrade_30,5,30,32,5368709120
FoodUpgrade_31,5,31,33,10737418240
FoodUpgrade_32,5,32,34,21474836480
FoodUpgrade_33,5,33,35,42949672960
FoodUpgrade_34,5,34,36,85899345920
FoodUpgrade_35,5,35,37,172000000000
FoodUpgrade_36,5,36,38,344000000000
FoodUpgrade_37,5,37,39,687000000000
FoodUpgrade_38,5,38,40,1370000000000
FoodUpgrade_39,5,39,41,2750000000000
FoodUpgrade_40,5,40,42,5500000000000
FoodUpgrade_41,5,41,43,11000000000000
FoodUpgrade_42,5,42,44,22000000000000
FoodUpgrade_43,5,43,45,44000000000000
FoodUpgrade_44,5,44,46,88000000000000
FoodUpgrade_45,5,45,47,176000000000000
FoodUpgrade_46,5,46,48,352000000000000
FoodUpgrade_47,5,47,49,704000000000000
FoodUpgrade_48,5,48,50,1410000000000000
FoodUpgrade_49,5,49,51,2810000000000000
FoodUpgrade_50,5,50,52,5630000000000000
FoodUpgrade_51,5,51,53,11300000000000000
FoodUpgrade_52,5,52,54,22500000000000000
FoodUpgrade_53,5,53,55,45000000000000000
FoodUpgrade_54,5,54,56,90100000000000000
FoodUpgrade_55,5,55,57,180000000000000000
FoodUpgrade_56,5,56,58,360000000000000000
FoodUpgrade_57,5,57,59,721000000000000000
FoodUpgrade_58,5,58,60,1440000000000000000
FoodUpgrade_59,5,59,61,2880000000000000000
FoodUpgrade_60,5,60,62,5760000000000000000
FoodUpgrade_61,5,61,63,11500000000000000000
FoodUpgrade_62,5,62,64,23100000000000000000
FoodUpgrade_63,5,63,65,46100000000000000000
FoodUpgrade_64,5,64,66,92200000000000000000
FoodUpgrade_65,5,65,67,184000000000000000000
FoodUpgrade_66,5,66,68,369000000000000000000
FoodUpgrade_67,5,67,69,738000000000000000000
FoodUpgrade_68,5,68,70,1480000000000000000000
FoodUpgrade_69,5,69,71,2950000000000000000000
FoodUpgrade_70,5,70,72,5900000000000000000000
FoodUpgrade_71,5,71,73,11800000000000000000000
FoodUpgrade_72,5,72,74,23600000000000000000000
FoodUpgrade_73,5,73,75,47200000000000000000000
FoodUpgrade_74,5,74,76,94400000000000000000000
FoodUpgrade_75,5,75,77,189000000000000000000000
FoodUpgrade_76,5,76,78,378000000000000000000000
FoodUpgrade_77,5,77,79,756000000000000000000000
FoodUpgrade_78,5,78,80,1510000000000000000000000
FoodUpgrade_79,5,79,81,3020000000000000000000000
FoodUpgrade_80,5,80,82,6040000000000000000000000
FoodUpgrade_81,5,81,83,12100000000000000000000000
FoodUpgrade_82,5,82,84,24200000000000000000000000
FoodUpgrade_83,5,83,85,48400000000000000000000000
FoodUpgrade_84,5,84,86,96700000000000000000000000
FoodUpgrade_85,5,85,87,193000000000000000000000000
FoodUpgrade_86,5,86,88,387000000000000000000000000
FoodUpgrade_87,5,87,89,774000000000000000000000000
FoodUpgrade_88,5,88,90,1550000000000000000000000000
FoodUpgradeVer2_1,6,1,1,1310720
FoodUpgradeVer2_2,6,2,2,2621440
FoodUpgradeVer2_3,6,3,3,5242880
FoodUpgradeVer2_4,6,4,4,10485760
FoodUpgradeVer2_5,6,5,5,20971520
FoodUpgradeVer2_6,6,6,6,41943040
FoodUpgradeVer2_7,6,7,7,83886080
FoodUpgradeVer2_8,6,8,8,167772160
FoodUpgradeVer2_9,6,9,9,335544320
FoodUpgradeVer2_10,6,10,10,671088640
FoodUpgradeVer2_11,6,11,11,1342177280
FoodUpgradeVer2_12,6,12,12,2684354560
FoodUpgradeVer2_13,6,13,13,5368709120
FoodUpgradeVer2_14,6,14,14,10737418240
FoodUpgradeVer2_15,6,15,15,21474836480
FoodUpgradeVer2_16,6,16,16,42949672960
FoodUpgradeVer2_17,6,17,17,85899345920
FoodUpgradeVer2_18,6,18,18,172000000000
FoodUpgradeVer2_19,6,19,19,344000000000
FoodUpgradeVer2_20,6,20,20,687000000000
FoodUpgradeVer2_21,6,21,21,1370000000000
FoodUpgradeVer2_22,6,22,22,2750000000000
FoodUpgradeVer2_23,6,23,23,5500000000000
FoodUpgradeVer2_24,6,24,24,11000000000000
FoodUpgradeVer2_25,6,25,25,22000000000000
FoodUpgradeVer2_26,6,26,26,44000000000000
FoodUpgradeVer2_27,6,27,27,88000000000000
FoodUpgradeVer2_28,6,28,28,176000000000000
FoodUpgradeVer2_29,6,29,29,352000000000000
FoodUpgradeVer2_30,6,30,30,704000000000000
FoodUpgradeVer2_31,6,31,31,1410000000000000
FoodUpgradeVer2_32,6,32,32,2810000000000000
FoodUpgradeVer2_33,6,33,33,5630000000000000
FoodUpgradeVer2_34,6,34,34,11300000000000000
FoodUpgradeVer2_35,6,35,35,22500000000000000
FoodUpgradeVer2_36,6,36,36,45000000000000000
FoodUpgradeVer2_37,6,37,37,90100000000000000
FoodUpgradeVer2_38,6,38,38,180000000000000000
FoodUpgradeVer2_39,6,39,39,360000000000000000
FoodUpgradeVer2_40,6,40,40,721000000000000000
FoodUpgradeVer2_41,6,41,41,1440000000000000000
FoodUpgradeVer2_42,6,42,42,2880000000000000000
FoodUpgradeVer2_43,6,43,43,5760000000000000000
FoodUpgradeVer2_44,6,44,44,11500000000000000000
FoodUpgradeVer2_45,6,45,45,23100000000000000000
FoodUpgradeVer2_46,6,46,46,46100000000000000000
FoodUpgradeVer2_47,6,47,47,92200000000000000000
FoodUpgradeVer2_48,6,48,48,184000000000000000000
FoodUpgradeVer2_49,6,49,49,369000000000000000000
FoodUpgradeVer2_50,6,50,50,738000000000000000000
FoodUpgradeVer2_51,6,51,51,1480000000000000000000
FoodUpgradeVer2_52,6,52,52,2950000000000000000000
FoodUpgradeVer2_53,6,53,53,5900000000000000000000
FoodUpgradeVer2_54,6,54,54,11800000000000000000000
FoodUpgradeVer2_55,6,55,55,23600000000000000000000
FoodUpgradeVer2_56,6,56,56,47200000000000000000000
FoodUpgradeVer2_57,6,57,57,94400000000000000000000
FoodUpgradeVer2_58,6,58,58,189000000000000000000000
FoodUpgradeVer2_59,6,59,59,378000000000000000000000
FoodUpgradeVer2_60,6,60,60,756000000000000000000000
FoodUpgradeVer2_61,6,61,61,1510000000000000000000000
FoodUpgradeVer2_62,6,62,62,3020000000000000000000000
FoodUpgradeVer2_63,6,63,63,6040000000000000000000000
FoodUpgradeVer2_64,6,64,64,12100000000000000000000000
FoodUpgradeVer2_65,6,65,65,24200000000000000000000000
FoodUpgradeVer2_66,6,66,66,48400000000000000000000000
FoodUpgradeVer2_67,6,67,67,96700000000000000000000000
FoodUpgradeVer2_68,6,68,68,193000000000000000000000000
FoodUpgradeVer2_69,6,69,69,387000000000000000000000000
FoodUpgradeVer2_70,6,70,70,774000000000000000000000000
AutoFeed_1,7,1,30,10
AutoFeed_2,7,2,29,80
AutoFeed_3,7,3,28,640
AutoFeed_4,7,4,27,5120
AutoFeed_5,7,5,26,40960
AutoFeed_6,7,6,25,327680
AutoFeed_7,7,7,24,2621440
AutoFeed_8,7,8,23,20971520
AutoFeed_9,7,9,22,167772160
AutoFeed_10,7,10,21,1342177280
AutoFeed_11,7,11,20,10737418240
AutoFeed_12,7,12,19,85899345920
AutoFeed_13,7,13,18,687000000000
AutoFeed_14,7,14,17,5500000000000
AutoFeed_15,7,15,16,44000000000000
AutoFeed_16,7,16,15,352000000000000
